Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:10
,TRUE,,Yes,,,,,,Misc,N/A,,,,,,,,,,,
,TRUE,,No,,,,,,Misc,N/A,,,,,,,,,,,
,TRUE,,Month(s),,,,,,Misc,N/A,,,,,,,,,,,
,TRUE,,Hour(s),,,,,,Misc,N/A,,,,,,,,,,,
,TRUE,,Week(s),,,,,,Misc,N/A,,,,,,,,,,,
,TRUE,,All Observation Templates,,,,,,ConvSet,N/A,,,,,,,,,,,
