Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Fully specified name:fr,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
f4836c68-fd3c-4859-a3a4-0c8935e63830,,,Intracath #18,,,,,,Material,N/A,,,,,,,,,,,
2f92ff86-72ac-4c02-a17e-75536eb48caf,,,Intracath #20,,,,,,Material,N/A,,,,,,,,,,,
01efe641-d91b-49de-af7c-2ef9cf91195b,,,Intracath #22,,,,,,Material,N/A,,,,,,,,,,,
0e4c1616-3af5-4127-9124-c2327c90110f,,,Intracath #24,,,,,,Material,N/A,,,,,,,,,,,
94282e7b-23c3-4a08-aa74-1049cdc457d3,,,Thermacare Heatwrap,b88ca045-2707-4fff-b383-89840293334d,692a18cd-d15e-4ef8-8ed2-0e878b6d7b32,,
